timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,moving,characteristic_num
1624715058.037109,51,-128,-50,-93,-115,-5,-128,127,,1
1624715058.040046,45,103,64,51,127,7,-124,-38,,2
1624715058.040046,21,-4,31,72,-47,-6,127,127,,2
1624715058.050884,-8,-128,-29,-128,-128,9,-92,-17,,3
1624715058.050884,-15,59,33,127,120,2,11,-25,,3
1624715058.060632,9,31,39,-34,-31,7,-51,1,,0
1624715058.060632,4,-32,5,-7,-3,-1,-19,-22,,0
1624715058.074798,127,-62,38,-19,-127,0,-101,-55,,1
1624715058.074798,24,21,-4,65,127,-3,125,55,,1
1624715058.0780082,-52,-48,9,-70,-31,-3,48,-100,,2
1624715058.0780082,89,2,29,37,-72,6,-128,101,,2
1624715058.097304,82,81,69,127,23,0,71,85,,3
1624715058.097304,-84,-53,62,-128,-12,-1,-95,-25,,3
1624715058.100393,-57,-22,14,-3,-110,1,-49,-110,,0
1624715058.100393,29,20,-14,-63,54,1,45,3,,0
1624715058.111122,-11,36,127,107,34,1,9,3,,1
1624715058.111122,-19,-13,9,-50,-81,-2,-10,-18,,1
1624715058.120708,-12,-45,3,-128,-63,-2,-31,-11,,2
1624715058.120708,-33,20,7,127,72,0,68,54,,2
1624715058.134449,45,73,-17,127,13,1,-128,6,,3
1624715058.134449,-19,-6,-100,79,22,-4,11,-21,,3
1624715058.1376011,-60,-51,-24,-128,-35,-6,-35,-59,,0
1624715058.1376011,-35,-71,-29,-128,-128,0,8,-27,,0
1624715058.156972,-79,83,47,127,127,-4,103,127,,1
1624715058.156972,-112,64,32,127,-36,-3,114,10,,1
1624715058.1600251,-2,5,9,-57,-35,-8,5,-73,,2
1624715058.1600251,-57,-68,13,-97,-26,1,5,-41,,2
1624715058.169865,-33,-80,-2,-79,-80,1,-111,-6,,3
1624715058.169865,70,50,-26,103,61,6,126,127,,3
1624715058.180196,71,24,11,35,43,-1,-39,-18,,0
1624715058.180196,-7,-47,4,-127,-36,-4,57,8,,0
1624715058.1950238,-18,-19,-44,-65,-47,5,57,1,,1
1624715058.1950238,9,-31,-11,0,10,-1,20,1,,1
1624715058.197919,-22,-24,-5,-72,-13,-7,3,27,,2
1624715058.197919,70,42,66,67,23,2,-2,4,,2
1624715058.217123,-75,35,-9,-85,-8,1,53,-6,,3
1624715058.217123,71,68,-4,82,-27,5,-56,-18,,3
1624715058.219928,70,116,60,127,99,1,-23,-11,,0
1624715058.219928,-60,18,-17,-110,-3,0,16,9,,0
1624715058.2308831,-17,9,3,-102,-32,7,-19,-17,,1
1624715058.2308831,0,29,-7,-45,-27,4,-18,-10,,1
1624715058.240736,-21,-45,-98,-109,-30,2,-21,-12,,2
1624715058.240736,-12,-5,-128,127,49,2,30,15,,2
1624715058.254357,4,-24,-14,11,18,1,10,11,,3
1624715058.254357,-1,-90,-61,39,6,-6,-12,-7,,3
1624715058.2574232,-10,-43,88,-64,-24,0,-22,-12,,0
1624715058.2574232,-12,-53,-39,-67,-40,-4,15,-5,,0
1624715058.277258,-4,1,-40,10,17,11,-4,-10,,1
1624715058.277258,-38,-39,-88,-8,-7,1,7,-20,,1
1624715058.280155,10,-50,13,30,10,7,1,2,,2
1624715058.280155,9,-52,58,54,20,-3,26,11,,2
1624715058.2910988,4,24,-22,-31,21,18,2,-33,,3
1624715058.2910988,18,-45,-46,73,16,-40,6,59,,3
1624715058.3004951,0,-105,-10,-32,-28,-8,-5,-4,,0
1624715058.3004951,-6,-32,-6,-12,-7,0,-4,-10,,0
1624715058.314962,-3,-44,-41,-19,-9,-39,-19,51,,1
1624715058.314962,-36,127,-2,-58,-23,-27,46,-13,,1
1624715058.3179588,126,82,127,99,59,-25,17,-9,,2
1624715058.3179588,-64,-128,-33,-37,-10,-24,1,-14,,2
1624715058.3375292,6,29,-28,-24,-8,-41,-36,-4,,3
1624715058.3375292,-12,-14,-48,-6,-7,-20,0,1,,3
1624715058.340513,2,10,24,8,-4,15,8,0,,0
1624715058.340513,-37,-3,0,-38,-12,-20,-10,14,,0
1624715058.3511622,5,13,-3,29,3,25,7,-3,,1
1624715058.3511622,12,54,-56,8,2,-1,3,8,,1
1624715058.3605251,0,53,8,-2,5,10,-3,-4,,2
1624715058.3605251,2,17,-83,-128,-42,-6,-9,-8,,2
1624715058.374558,1,88,-100,127,31,-23,-23,12,,3
1624715058.374558,-38,-17,13,-9,45,-13,32,-40,,3
1624715058.377742,14,-5,-8,10,-13,29,8,2,,0
1624715058.377742,-1,-9,30,-67,14,34,3,3,,0
1624715058.3976262,-14,-49,-46,-22,-46,-41,-20,-14,,1
1624715058.3976262,-20,-46,-63,-13,-58,-12,-11,-22,,1
1624715058.4004438,37,39,127,96,55,-2,-9,-11,,2
1624715058.4004438,-15,-9,28,80,20,25,-4,74,,2
1624715058.411201,10,16,32,23,30,-8,30,-27,,3
1624715058.411201,-88,-128,-126,-63,-45,-64,65,-63,,3
1624715058.4203808,56,-27,-56,-17,25,27,-20,52,,0
1624715058.4203808,43,-56,-94,-63,-15,3,-11,-12,,0
1624715058.434978,12,46,108,-2,-30,-31,-53,-21,,1
1624715058.434978,-36,-15,18,127,67,-13,68,25,,1
1624715058.437941,-66,-59,-41,-61,-26,11,8,-19,,2
1624715058.437941,6,30,-16,-30,-14,-10,-3,-4,,2
1624715058.4570282,-7,-38,-5,-66,-10,-34,-25,-17,,3
1624715058.4570282,-18,-43,-17,-14,-28,-56,-33,-28,,3
1624715058.4598012,27,57,-33,53,7,24,17,34,,0
1624715058.4598012,-5,5,51,-1,10,27,-1,-2,,0
1624715058.471571,12,36,28,-7,1,-16,-9,14,,1
1624715058.471571,-12,-13,-38,-8,4,-43,10,-1,,1
1624715058.480747,11,31,127,-66,-11,82,52,16,,2
1624715058.480747,1,-18,-24,-23,-13,11,8,2,,2
1624715058.494432,12,42,-22,114,46,25,-6,63,,3
1624715058.494432,3,-22,-109,8,0,21,127,-14,,3
1624715058.497259,-4,-21,7,-38,-21,11,-33,-7,,0
1624715058.497259,-7,15,27,-18,-9,5,2,2,,0
1624715058.517251,-9,-24,4,-51,-9,3,0,1,,1
1624715058.517251,-5,-9,22,5,1,-39,4,-5,,1
1624715058.519383,-5,-5,15,-18,0,21,7,1,,2
1624715058.519383,-1,-4,-15,-7,-2,14,1,-4,,2
1624715058.540184,3,-2,-24,-6,1,8,-1,-1,,3
1624715058.540184,-1,-4,-37,-5,-1,-59,-3,-7,,3
1624715058.543282,-10,-23,-33,-24,-30,4,-11,-6,,0
1624715058.543282,5,9,-43,10,15,7,12,0,,0
1624715058.555038,5,28,-62,7,7,-11,-7,2,,1
1624715058.555038,-7,-8,-33,-16,-2,-48,-6,-3,,1
1624715058.558496,-1,8,31,-11,-3,10,1,-1,,2
1624715058.558496,-3,-8,18,-11,-6,27,4,0,,2
1624715058.577467,1,0,5,10,5,-4,-5,1,,3
1624715058.577467,-3,-6,-30,-5,-1,-55,2,-3,,3
1624715058.580381,1,6,7,-12,-12,12,-1,-1,,0
1624715058.580381,0,-12,0,29,0,21,0,1,,0
1624715058.599709,-1,2,11,-17,0,-40,-6,-1,,1
1624715058.599709,-4,2,-51,-3,12,-36,14,-4,,1
1624715058.602808,-1,11,8,-5,-2,-1,-25,-1,,2
1624715058.602808,-2,-2,-3,-15,-5,33,-8,-1,,2
1624715058.613329,-3,0,-12,-15,-7,-16,9,2,,3
1624715058.613329,-5,-8,-47,42,13,-62,-18,-8,,3
1624715058.622886,2,-4,20,11,-5,20,12,5,,0
1624715058.622886,-5,-18,0,-14,-10,21,0,-4,,0
1624715058.636899,11,57,-2,-9,0,-24,-7,6,,1
1624715058.636899,-5,-36,-30,-1,-21,-47,-1,-6,,1
1624715058.6398962,1,-5,-5,0,2,15,6,4,,2
1624715058.6398962,3,-6,26,7,5,34,6,3,,2
1624715058.6599889,-3,-12,-14,-1,-4,2,-1,4,,3
1624715058.6599889,-4,5,-32,-11,-2,-31,4,-4,,3
1624715058.663682,-7,-8,-1,-13,-5,3,-7,-6,,0
1624715058.663682,4,-6,2,27,1,26,4,7,,0
1624715058.672349,5,7,-5,-34,15,-31,2,-4,,1
1624715058.672349,-3,3,-25,72,12,-38,2,-3,,1
1624715058.6825962,-9,-10,-3,-72,-13,8,-7,-5,,2
1624715058.6825962,1,12,-22,100,43,49,4,0,,2
1624715058.697393,7,24,78,7,-10,2,-3,3,,3
1624715058.697393,5,23,-61,1,7,-42,10,5,,3
1624715058.700166,2,-13,19,-31,8,18,9,2,,0
1624715058.700166,0,0,-10,-27,-11,28,1,0,,0
1624715058.719527,-8,-7,-30,20,-8,-3,-4,1,,1
1624715058.719527,-3,10,-33,5,1,-47,-8,-3,,1
1624715058.7224782,-1,37,9,-4,0,16,4,1,,2
1624715058.7224782,6,58,12,15,10,38,7,4,,2
1624715058.733238,-5,43,-11,2,10,-1,4,1,,3
1624715058.733238,-7,13,-26,4,-3,-32,-9,-7,,3
1624715058.742872,-6,2,10,-38,-38,1,3,-2,,0
1624715058.742872,4,-18,5,8,-14,35,2,3,,0
1624715058.757113,0,-22,-13,-23,41,2,7,2,,1
1624715058.757113,2,-22,-44,24,-11,-38,4,-1,,1
1624715058.760158,-4,-29,-7,-87,-17,4,-4,-1,,2
1624715058.760158,-11,-35,9,114,13,36,-14,-11,,2
1624715058.786877,1,-1,38,8,-6,-7,3,4,,3
1624715058.786877,1,9,21,-27,-1,-42,9,-7,,3
1624715058.7896771,-7,-34,-27,-50,-10,-3,-16,-12,,0
1624715058.7896771,-2,-13,-30,28,1,31,-1,1,,0
1624715058.79282,2,-1,5,-15,12,-17,5,5,,1
1624715058.79282,-7,-23,-31,10,-1,-24,-5,-5,,1
1624715058.803086,5,2,-33,-70,36,30,7,5,,2
1624715058.803086,3,-15,-52,-2,-17,43,2,3,,2
1624715058.817761,-11,-19,-8,10,3,-16,7,-3,,3
1624715058.817761,1,-21,-24,30,3,-36,-12,-9,,3
1624715058.820222,4,-69,-9,9,14,33,10,10,,0
1624715058.820222,4,-32,46,13,-2,43,12,15,,0
1624715058.8398058,-5,-37,-45,-44,-36,-14,-25,1,,1
1624715058.8398058,-3,16,-67,10,4,-7,-3,-3,,1
1624715058.843062,4,20,5,31,8,5,4,4,,2
1624715058.843062,3,13,4,16,17,50,20,5,,2
1624715058.853277,-5,8,-22,-4,0,-26,-16,-10,,3
1624715058.853277,-2,9,-38,0,16,-23,16,-4,,3
1624715058.863314,-3,4,-6,-30,-7,22,-24,-8,,0
1624715058.863314,9,45,98,37,-23,9,-4,4,,0
1624715058.877125,-12,-33,-57,12,3,-15,-1,-6,,1
1624715058.877125,-12,-19,-18,-27,14,-13,10,-8,,1
1624715058.8800929,-6,-31,-16,-18,-28,12,3,-1,,2
1624715058.8800929,13,22,49,-15,-17,15,-5,7,,2
1624715058.899554,-6,-6,-19,-18,6,-43,-12,-3,,3
1624715058.899554,0,3,-1,-45,-2,-28,11,0,,3
1624715058.9027169,3,-24,-8,6,-16,26,0,4,,0
1624715058.9027169,2,1,7,37,-29,35,5,6,,0
1624715058.913249,1,13,-9,6,-10,-29,-32,-8,,1
1624715058.913249,2,10,-9,31,12,9,-1,2,,1
1624715058.9231942,-8,0,-40,-73,-18,7,3,-3,,2
1624715058.9231942,-2,-2,23,-40,9,20,-9,-3,,2
1624715058.937222,-4,2,-81,-41,-16,-2,12,4,,3
1624715058.937222,8,44,12,88,14,4,4,-1,,3
1624715058.939861,4,14,15,44,9,-12,5,1,,0
1624715058.939861,-7,-6,-11,-28,-7,15,-16,-8,,0
1624715058.9671621,-2,20,-17,-24,-8,-20,2,-3,,1
1624715058.9671621,-1,6,-32,-18,1,10,27,-1,,1
1624715058.970303,3,11,19,-5,-11,21,-21,3,,2
1624715058.970303,-2,9,22,13,10,32,6,2,,2
1624715058.9731781,-4,-3,22,-26,-9,-19,4,2,,3
1624715058.9731781,3,30,75,12,18,-10,-15,-7,,3
1624715058.983607,-4,5,-29,-5,-6,3,2,-4,,0
1624715058.983607,4,4,-38,2,-16,42,7,14,,0
1624715058.99698,-1,10,-8,-65,-10,-16,-1,-3,,1
1624715058.99698,-3,-10,-86,-2,1,0,-2,-1,,1
1624715058.9997282,3,16,-14,-13,-4,7,-3,5,,2
1624715058.9997282,-7,14,41,-20,-26,21,-11,-7,,2
1624715059.020315,-1,18,-17,-6,-19,-12,-4,1,,3
1624715059.020315,4,21,-9,-18,3,-7,-14,3,,3
1624715059.022372,3,49,1,5,25,23,8,8,,0
1624715059.022372,2,22,10,-38,-18,23,18,3,,0
1624715059.02543,-11,-27,13,-44,-33,-35,-19,-14,,1
1624715059.02543,-2,-24,5,-8,0,12,0,-4,,1
1624715059.035352,4,-29,-31,17,13,1,2,2,,2
1624715059.035352,2,-32,-4,2,4,27,4,3,,2
1624715059.057456,2,-29,-25,12,6,-11,3,-1,,3
